,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2017-01-02/2017-01-08,844,2017-01-02,2017-01-08,5145,3,3,0,0,0,0,0,0
2017-01-09/2017-01-15,845,2017-01-09,2017-01-15,5145,3,3,0,0,0,0,0,0
2017-01-16/2017-01-22,846,2017-01-16,2017-01-22,5145,4,4,0,0,0,0,0,0
2017-01-23/2017-01-29,847,2017-01-23,2017-01-29,5146,3,2,0,0,0,0,0,0
2017-01-30/2017-02-05,848,2017-01-30,2017-02-05,5146,7,7,0,0,0,0,0,0
2017-02-06/2017-02-12,849,2017-02-06,2017-02-12,5141,1,6,0,0,0,0,0,0
2017-02-13/2017-02-19,850,2017-02-13,2017-02-19,5140,0,1,0,0,0,0,0,0
2017-02-20/2017-02-26,851,2017-02-20,2017-02-26,5133,4,11,0,0,0,0,0,0
2017-02-27/2017-03-05,852,2017-02-27,2017-03-05,5124,5,14,0,0,0,0,0,0
2017-03-06/2017-03-12,853,2017-03-06,2017-03-12,5122,3,5,0,0,0,0,0,0
2017-03-13/2017-03-19,854,2017-03-13,2017-03-19,5119,4,7,0,0,0,0,0,0
2017-03-20/2017-03-26,855,2017-03-20,2017-03-26,5119,3,3,0,0,0,0,0,0
2017-03-27/2017-04-02,856,2017-03-27,2017-04-02,5118,2,3,0,0,0,0,0,0
2017-04-03/2017-04-09,857,2017-04-03,2017-04-09,5116,1,3,0,0,0,0,0,0
2017-04-10/2017-04-16,858,2017-04-10,2017-04-16,5112,1,5,0,0,0,0,0,0
2017-04-17/2017-04-23,859,2017-04-17,2017-04-23,5107,3,8,0,0,0,0,0,0
2017-04-24/2017-04-30,860,2017-04-24,2017-04-30,5094,4,17,0,0,0,0,0,0
2017-05-01/2017-05-07,861,2017-05-01,2017-05-07,5086,5,13,0,0,0,0,0,0
2017-05-08/2017-05-14,862,2017-05-08,2017-05-14,5081,5,10,0,0,0,0,0,0
2017-05-15/2017-05-21,863,2017-05-15,2017-05-21,161,4,4924,0,0,0,0,0,0
2017-05-22/2017-05-28,864,2017-05-22,2017-05-28,159,3,5,0,0,0,0,0,0
2017-05-29/2017-06-04,865,2017-05-29,2017-06-04,160,2,1,0,0,0,0,0,0
2017-06-05/2017-06-11,866,2017-06-05,2017-06-11,161,1,0,0,0,0,0,0,0
2017-06-12/2017-06-18,867,2017-06-12,2017-06-18,161,3,3,0,0,0,0,0,0
2017-06-19/2017-06-25,868,2017-06-19,2017-06-25,160,1,2,0,0,0,0,0,0
2017-06-26/2017-07-02,869,2017-06-26,2017-07-02,158,4,6,0,0,0,0,0,0
2017-07-03/2017-07-09,870,2017-07-03,2017-07-09,158,2,2,0,0,0,0,0,0
2017-07-10/2017-07-16,871,2017-07-10,2017-07-16,157,2,3,0,0,0,0,0,0
2017-07-17/2017-07-23,872,2017-07-17,2017-07-23,156,2,3,0,0,0,0,0,0
2017-07-24/2017-07-30,873,2017-07-24,2017-07-30,156,1,1,0,0,0,0,0,0
2017-07-31/2017-08-06,874,2017-07-31,2017-08-06,156,0,0,0,0,0,0,0,0
2017-08-07/2017-08-13,875,2017-08-07,2017-08-13,154,1,3,0,0,0,0,0,0
2017-08-14/2017-08-20,876,2017-08-14,2017-08-20,149,3,8,0,0,0,0,0,0
2017-08-21/2017-08-27,877,2017-08-21,2017-08-27,150,1,0,0,0,0,0,0,0
2017-08-28/2017-09-03,878,2017-08-28,2017-09-03,151,4,3,0,0,0,0,0,0
2017-09-04/2017-09-10,879,2017-09-04,2017-09-10,149,0,2,0,0,0,0,0,0
2017-09-11/2017-09-17,880,2017-09-11,2017-09-17,147,0,2,0,0,0,0,0,0
2017-09-18/2017-09-24,881,2017-09-18,2017-09-24,146,0,1,0,0,0,0,0,0
2017-09-25/2017-10-01,882,2017-09-25,2017-10-01,142,1,5,0,0,0,0,0,0
2017-10-02/2017-10-08,883,2017-10-02,2017-10-08,135,2,9,0,0,0,0,0,0
2017-10-09/2017-10-15,884,2017-10-09,2017-10-15,134,2,3,0,0,0,0,0,0
2017-10-16/2017-10-22,885,2017-10-16,2017-10-22,129,2,7,0,0,0,0,0,0
2017-10-23/2017-10-29,886,2017-10-23,2017-10-29,129,0,0,0,0,0,0,0,0
2017-10-30/2017-11-05,887,2017-10-30,2017-11-05,129,2,2,0,0,0,0,0,0
2017-11-06/2017-11-12,888,2017-11-06,2017-11-12,130,3,2,0,0,0,0,0,0
2017-11-13/2017-11-19,889,2017-11-13,2017-11-19,132,5,3,0,0,0,0,0,0
2017-11-20/2017-11-26,890,2017-11-20,2017-11-26,131,5,6,0,0,0,0,0,0
2017-11-27/2017-12-03,891,2017-11-27,2017-12-03,133,4,2,0,0,0,0,0,0
2017-12-04/2017-12-10,892,2017-12-04,2017-12-10,129,3,7,0,0,0,0,0,0
2017-12-11/2017-12-17,893,2017-12-11,2017-12-17,129,5,5,0,0,0,0,0,0
2017-12-18/2017-12-24,894,2017-12-18,2017-12-24,129,0,0,0,0,0,0,0,0
2017-12-25/2017-12-31,895,2017-12-25,2017-12-31,126,0,3,0,0,0,0,0,0
2018-01-01/2018-01-07,896,2018-01-01,2018-01-07,125,0,1,0,0,0,0,0,0
2018-01-08/2018-01-14,897,2018-01-08,2018-01-14,129,5,1,0,0,0,0,0,0
2018-01-15/2018-01-21,898,2018-01-15,2018-01-21,125,3,7,0,0,0,0,0,0
2018-01-22/2018-01-28,899,2018-01-22,2018-01-28,121,3,7,0,0,0,0,0,0
2018-01-29/2018-02-04,900,2018-01-29,2018-02-04,122,5,4,0,0,0,0,0,0
2018-02-05/2018-02-11,901,2018-02-05,2018-02-11,121,5,6,0,0,0,0,0,0
2018-02-12/2018-02-18,902,2018-02-12,2018-02-18,119,4,6,0,0,0,0,0,0
2018-02-19/2018-02-25,903,2018-02-19,2018-02-25,118,1,2,0,0,0,0,0,0
2018-02-26/2018-03-04,904,2018-02-26,2018-03-04,119,2,1,0,0,0,0,0,0
2018-03-05/2018-03-11,905,2018-03-05,2018-03-11,119,2,2,0,0,0,0,0,0
2018-03-12/2018-03-18,906,2018-03-12,2018-03-18,116,0,3,0,0,0,0,0,0
2018-03-19/2018-03-25,907,2018-03-19,2018-03-25,116,2,2,0,0,0,0,0,0
2018-03-26/2018-04-01,908,2018-03-26,2018-04-01,115,3,4,0,0,0,0,0,0
2018-04-02/2018-04-08,909,2018-04-02,2018-04-08,117,2,0,0,0,0,0,0,0
2018-04-09/2018-04-15,910,2018-04-09,2018-04-15,115,0,2,0,0,0,0,0,0
2018-04-16/2018-04-22,911,2018-04-16,2018-04-22,111,2,6,0,0,0,0,0,0
2018-04-23/2018-04-29,912,2018-04-23,2018-04-29,109,1,3,0,0,0,0,0,0
2018-04-30/2018-05-06,913,2018-04-30,2018-05-06,109,4,4,0,0,0,0,0,0
2018-05-07/2018-05-13,914,2018-05-07,2018-05-13,107,0,2,0,0,0,0,0,0
2018-05-14/2018-05-20,915,2018-05-14,2018-05-20,105,1,3,0,0,0,0,0,0
2018-05-21/2018-05-27,916,2018-05-21,2018-05-27,106,1,0,0,0,0,0,0,0
2018-05-28/2018-06-03,917,2018-05-28,2018-06-03,104,1,3,0,0,0,0,0,0
2018-06-04/2018-06-10,918,2018-06-04,2018-06-10,103,0,1,0,0,0,0,0,0
2018-06-11/2018-06-17,919,2018-06-11,2018-06-17,100,1,4,0,0,0,0,0,0
