,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2017-06-05/2017-06-11,867,2017-06-05,2017-06-11,106,1,1,0,0,0,0,0,0
2017-06-12/2017-06-18,868,2017-06-12,2017-06-18,104,1,3,0,0,0,0,0,0
2017-06-19/2017-06-25,869,2017-06-19,2017-06-25,102,0,2,0,0,0,0,0,0
2017-06-26/2017-07-02,870,2017-06-26,2017-07-02,104,5,3,0,0,0,0,0,0
2017-07-03/2017-07-09,871,2017-07-03,2017-07-09,103,4,5,0,0,0,0,0,0
2017-07-10/2017-07-16,872,2017-07-10,2017-07-16,103,3,3,0,0,0,0,0,0
2017-07-17/2017-07-23,873,2017-07-17,2017-07-23,95,2,10,0,0,0,0,0,0
2017-07-24/2017-07-30,874,2017-07-24,2017-07-30,95,2,2,0,0,0,0,0,0
2017-07-31/2017-08-06,875,2017-07-31,2017-08-06,96,2,1,0,0,0,0,0,0
2017-08-07/2017-08-13,876,2017-08-07,2017-08-13,94,2,4,0,0,0,0,0,0
2017-08-14/2017-08-20,877,2017-08-14,2017-08-20,91,2,5,0,0,0,0,0,0
2017-08-21/2017-08-27,878,2017-08-21,2017-08-27,90,1,2,0,0,0,0,0,0
2017-08-28/2017-09-03,879,2017-08-28,2017-09-03,89,1,2,0,0,0,0,0,0
2017-09-04/2017-09-10,880,2017-09-04,2017-09-10,88,2,3,0,0,0,0,0,0
2017-09-11/2017-09-17,881,2017-09-11,2017-09-17,90,2,0,0,0,0,0,0,0
2017-09-18/2017-09-24,882,2017-09-18,2017-09-24,90,1,1,0,0,0,0,0,0
2017-09-25/2017-10-01,883,2017-09-25,2017-10-01,80,0,10,0,0,0,0,0,0
2017-10-02/2017-10-08,884,2017-10-02,2017-10-08,82,3,1,0,0,0,0,0,0
2017-10-09/2017-10-15,885,2017-10-09,2017-10-15,81,1,2,0,0,0,0,0,0
2017-10-16/2017-10-22,886,2017-10-16,2017-10-22,77,3,7,0,0,0,0,0,0
2017-10-23/2017-10-29,887,2017-10-23,2017-10-29,74,0,3,0,0,0,0,0,0
2017-10-30/2017-11-05,888,2017-10-30,2017-11-05,73,2,3,0,0,0,0,0,0
2017-11-06/2017-11-12,889,2017-11-06,2017-11-12,73,1,1,0,0,0,0,0,0
2017-11-13/2017-11-19,890,2017-11-13,2017-11-19,71,2,4,0,0,0,0,0,0
2017-11-20/2017-11-26,891,2017-11-20,2017-11-26,71,4,4,0,0,0,0,0,0
2017-11-27/2017-12-03,892,2017-11-27,2017-12-03,70,5,6,0,0,0,0,0,0
2017-12-04/2017-12-10,893,2017-12-04,2017-12-10,71,2,1,0,0,0,0,0,0
2017-12-11/2017-12-17,894,2017-12-11,2017-12-17,70,0,1,0,0,0,0,0,0
2017-12-18/2017-12-24,895,2017-12-18,2017-12-24,71,1,0,0,0,0,0,0,0
2017-12-25/2017-12-31,896,2017-12-25,2017-12-31,69,2,4,0,0,0,0,0,0
2018-01-01/2018-01-07,897,2018-01-01,2018-01-07,66,3,6,0,0,0,0,0,0
2018-01-08/2018-01-14,898,2018-01-08,2018-01-14,67,2,1,0,0,0,0,0,0
2018-01-15/2018-01-21,899,2018-01-15,2018-01-21,65,2,4,0,0,0,0,0,0
2018-01-22/2018-01-28,900,2018-01-22,2018-01-28,65,2,2,0,0,0,0,0,0
2018-01-29/2018-02-04,901,2018-01-29,2018-02-04,65,2,2,0,0,0,0,0,0
2018-02-05/2018-02-11,902,2018-02-05,2018-02-11,65,4,4,0,0,0,0,0,0
2018-02-12/2018-02-18,903,2018-02-12,2018-02-18,64,1,2,0,0,0,0,0,0
2018-02-19/2018-02-25,904,2018-02-19,2018-02-25,64,0,0,0,0,0,0,0,0
2018-02-26/2018-03-04,905,2018-02-26,2018-03-04,65,3,2,0,0,0,0,0,0
2018-03-05/2018-03-11,906,2018-03-05,2018-03-11,64,0,1,0,0,0,0,0,0
2018-03-12/2018-03-18,907,2018-03-12,2018-03-18,61,1,4,0,0,0,0,0,0
2018-03-19/2018-03-25,908,2018-03-19,2018-03-25,58,0,3,0,0,0,0,0,0
2018-03-26/2018-04-01,909,2018-03-26,2018-04-01,58,1,1,0,0,0,0,0,0
2018-04-02/2018-04-08,910,2018-04-02,2018-04-08,56,2,4,0,0,0,0,0,0
